ability	1	capability:33, capacity:29, skill:19, power:15, talent:11, strength:4, facility:3, faculty:3, resourcefulness:2, function:2, aptitude:2, inherent ability:2, might:2, being able:2, expertise:1, feature:1, command:1, property:1, characteristic ability:1, comprehension:1, potential:1, powerup:1, gift:1, qualification:1, competence:1
academic	1	scholastic:21, educational:13, scholarly:9, university:5, college:4, intellectual:4, collegiate:3, studious:2, liberal arts:2, learn:1, formal education:1, university-level:1
academic	2	school:3, educational:2, scholastic:2, school calendar:1
academic	3	scholar:35, professor:11, academician:10, teacher:9, lecturer:8, learned person:6, educator:5, instructor:2, tutor:1, expert:1, college teacher:1, faculty:1
access	1	entry:19, admittance:18, approach:12, entrance:10, accessibility:8, connection:7, availability:7, passage:6, admission:5, right of entry:4, way in:2, passageway:2, connectivity:2, use:2, right to use:2, accessability:1, opportunity to use:1, permission:1, usage:1, provision:1, way:1, approachability:1, portal:1, admittance point:1, point of entry:1, point of entrance:1, reachability:1, entry point:1, pass:1, path:1, ingress:1, opportunity:1, access means:1
accident	1	mishap:33, misfortune:12, calamity:10, collision:9, tragedy:7, wreck:7, chance:5, crash:4, casualty:4, tragic event:3, mistake:3, happenstance:3, disaster:3, unintentional mishap:2, vehicular mishap:2, unintentional occurrence:2, accidental disaster:1, unintentional:1, misadventure:1, injury occurrence:1, smash up:1, pileup:1, unplanned:1, unfortunate incident:1, incidental occurrence:1, unintentional tragedy:1, damaging event:1, tragic incident:1, unexpected misfortune:1, fluke:1, incident:1, tragic occurrence:1, setback:1, vehicular accident:1, car wreck:1, smashup:1, accidental injury:1, damaging incident:1, injury:1, unintentional act:1, unplanned action:1, coincidence:1, chance injury:1
accident	2	without planning:1, incidentally:1, unintentional occurrence:1, happenstance:1, chance:1, adv:1
account	1	report:19, story:12, record:11, description:9, narration:7, detail:6, tale:5, document:3, documentation:3, testimony:1, telling:1, reasoning:1, history:1, regular customer business:1, ledger:1, explanation:1, justification:1, essay:1, client:1, chronicle:1, database:1, recollection:1, commercial account:1
account	2	record:5, financial record:3, record of finance:3, statement:2, balance:2, deposit:2, register:2, bank account:2, financial holding:1, report:1, book:1, tab:1, tally:1, membership:1
acid	1	e.g.:6, acid compound:5, compound:5, acid solution:4, chemical compound:4, acidic substance:4, chemical:4, molecular compound:4, corrosive substance:3, acidic compound:3, chemical acid:2, chemical substance:2, acidic chemical compound:1, acidic:1, non-base:1, substance:1, acerbic chemical compound:1, ph acid:1
acid	2	acid genre:3, psychedelic style:3, acid music:2, free-style:2, soul:2, funk:2, trial:1, jazz vibe:1, freestyle:1, experimental type of music:1, hippie style:1
action	1	activity:16, movement:16, motion:12, force:6, behavior:5, maneuver:4, process:4, function:3, act:3, energy:2, conducted activity:2, exercise:2, battle:2, service:2, military action:2, operation:2, power:2, effort:1, execution:1, stunt:1, active effect:1, conducted act:1, skirmish:1, undertaking:1, plan:1, move:1, response:1, scripted movement:1, deed:1, action style:1, accomplishment:1, course of action:1, liveliness:1, performance:1, combat mission:1, feat:1, real mode:1, committed act:1, combat:1, active mode:1, performed action:1, onscreen activity:1
action	2	motion:26, movement:21, force:21, activity:19, energy:12, power:10, combat:10, military action:8, active service:7, battle:6, action-packed:3, fighting:3, warfare:3, operation:3, flurry:3, action style:3, commission:3, story action:2, real action:2, plot action:2, not animated:2, playing action:2, active:2, mechanism:2, commission of a performance:1, rolling:1, event:1, rush:1, vigor:1, happening:1, performance mode:1, physical motion:1, battle action:1, movie action:1, troop movement:1, human acted:1, playing time:1, competitive:1, function:1, performance:1, service:1, the midst of play:1, the line of duty:1, action type:1, mechanical action:1, signifying action:1, commission of a job:1, denoting action:1, turmoil:1, play:1, cinematic action:1, baseball action:1, scene:1, commission of duty:1, unfolding of event(s):1, occurring:1, human-acted:1, live action:1, conflict:1, physical activity:1, military duty:1, combat action:1, mechanical mode:1, unfolding of events:1
activity	1	action:21, undertaking:13, movement:9, pursuit:9, labor:6, venture:6, practice:5, endeavor:5, task:4, involvement:4, project:4, entertainment:3, business:3, motion:3, work:3, interest:2, recreation:2, event:2, hobby:2, exercise:2, felony:2, illegal activity:1, illicit activity:1, pastime:1, busyness:1, active course:1, dealing:1, proliferation:1, adventure:1, program:1, bustle:1, doing(s):1, trip:1, occupation:1, plan:1, stunt:1, exertion:1
actor	1	performer:38, player:21, artist:15, entertainer:14, acting professional:12, thespian:11, film actor:6, star:3, theatre actor:3, television actor:2, stage player:2, acting performer:1, player of a role:1, actor portraying a part:1, tv actor:1, actor in a role:1, trouper:1, movie actor:1, stage actor:1, role player:1, stage or film actor:1
actress	1	performer:31, thespian:17, leading lady:13, actor:13, female actor:10, star:8, celebrity:7, artist:7, female actress:5, famous person:5, entertainer:3, female dramatic performer:1, acting:1, stage performer:1, artiste:1, playactress:1, character portrayer:1, female drama performer:1, movie star:1, player:1, playactor:1, leading role player:1, role player:1, film star:1, character impersonator:1, dramatic actress:1
